+-----------------------+-------+---------+---------------------+
| Material List for placement 'Potato_Noir GMF Large in Desert' |
+-----------------------+-------+---------+---------------------+
| Item                  | Total | Missing |           Available |
+-----------------------+-------+---------+---------------------+
| Sand                  |  6106 |    4512 |                   1 |
| Smooth Stone Slab     |  4357 |    4348 |                   0 |
| Sandstone             |  3384 |    2862 |                   0 |
| Scaffolding           |   680 |     613 |                   0 |
| Smooth Stone          |   107 |      68 |                   0 |
| Water Bucket          |   100 |      90 |                   1 |
| Chest                 |    72 |       2 |                   0 |
| Glass                 |    62 |      25 |                   2 |
| Magma Block           |    49 |       0 |                   1 |
| Hopper                |    42 |       0 |                   0 |
| Redstone Dust         |    28 |       8 |                   0 |
| Torch                 |    20 |      16 |                   0 |
| Observer              |    13 |      12 |                   1 |
| Sandstone Wall        |    13 |       0 |                   1 |
| Dead Bush             |    11 |      11 |                   0 |
| Dispenser             |    11 |      11 |                   0 |
| Oak Pressure Plate    |     8 |       4 |                   1 |
| Redstone Torch        |     8 |       0 |                   0 |
| Oak Trapdoor          |     7 |       0 |                   1 |
| Redstone Comparator   |     7 |       7 |                   0 |
| Cactus                |     3 |       3 |                   0 |
| Redstone Repeater     |     3 |       0 |                   1 |
| Crafter               |     2 |       0 |                   0 |
| Ice                   |     2 |       0 |                   0 |
| Oak Fence             |     2 |       1 |                   0 |
| Packed Ice            |     1 |       1 |                   0 |
| Smooth Sandstone Slab |     1 |       1 |                   0 |
| Soul Sand             |     1 |       0 |                   0 |
+-----------------------+-------+---------+---------------------+
| Item                  | Total | Missing |           Available |
+-----------------------+-------+---------+---------------------+
